Rank,Ticker symbol,Name,Market Cap,Price,Volume(24h),Circulating Supply,Change(24h)
71,DGD,DigixDAO,"$99,494,933",$49.75,"$2,895,021","2,000,000",0.13%
72,IOST,IOST,"$98,837,676",$0.008227,"$53,581,128","12,013,965,609",6.45%
73,STEEM,Steem,"$97,845,535",$0.276364,"$20,412,708","354,045,734",21.97%
74,MCO,MCO,"$96,462,762",$6.11,"$36,961,658","15,793,831",1.60%
75,VSYS,v.systems,"$92,718,355",$0.048220,"$3,542,009","1,922,824,743",3.54%
76,XVG,Verge,"$90,852,115",$0.005616,"$9,682,568","16,177,132,759",6.73%
77,ZIL,Zilliqa,"$88,012,722",$0.008889,"$20,359,783","9,901,552,609",7.55%
78,SXP,Swipe,"$85,127,294",$1.39,"$17,981,830","61,123,111",-0.84%
79,CENNZ,Centrality,"$80,465,842",$0.095512,"$256,871","842,470,069",-0.22%
80,LUNA,Terra,"$79,477,957",$0.276190,"$3,759,644","287,765,804",-0.24%
81,KNC,Kyber Network,"$79,426,170",$0.457550,"$19,840,750","173,590,295",7.26%
82,AE,Aeternity,"$77,976,216",$0.258900,"$14,748,943","301,182,888",3.12%
83,XZC,Zcoin,"$77,031,407",$8.14,"$20,562,325","9,467,893",0.94%
84,SNT,Status,"$74,143,378",$0.021364,"$52,607,165","3,470,483,788",-7.75%
85,ARDR,Ardor,"$72,580,636",$0.072653,"$4,028,908","998,999,495",1.86%
86,ELF,aelf,"$71,818,206",$0.131902,"$87,513,536","544,480,200",11.41%
87,CHZ,Chiliz,"$69,641,241",$0.015248,"$30,646,052","4,567,133,626",-9.48%
88,SEELE,Seele,"$68,345,617",$0.097694,"$33,464,634","699,587,206",-2.81%
89,DX,DxChain Token,"$66,203,895",$0.001324,"$1,817,793","50,000,000,000",-2.86%
90,GNT,Golem,"$64,670,960",$0.065987,"$5,776,109","980,050,000",5.64%
91,MANA,Decentraland,"$64,619,467",$0.061534,"$25,775,930","1,050,141,509",0.50%
92,MATIC,Matic Network,"$60,035,712",$0.023465,"$38,735,898","2,558,503,686",3.96%
93,QNT,Quant,"$58,828,828",$4.87,"$3,557,279","12,072,738",4.70%
94,RLC,iExec RLC,"$58,031,856",$0.724757,"$1,191,049","80,070,793",-0.33%
95,ABBC,ABBC Coin,"$57,303,742",$0.103172,"$38,759,804","555,416,914",-0.26%
96,REN,Ren,"$55,146,795",$0.066974,"$7,010,184","823,403,651",5.15%
97,RIF,RIF Token,"$54,874,484",$0.096362,"$7,437,700","569,460,014",-2.13%
98,STX,Blockstack,"$54,208,416",$0.188694,"$3,690,883","287,282,568",-1.59%
99,AION,Aion,"$53,514,633",$0.136817,"$13,970,023","391,140,663",2.58%
100,NPXS,Pundi X,"$53,212,186",$0.000227,"$7,240,857","234,308,006,047",4.89%
